Submitter,Submitter Email,Submission Date,Expectations: I can navigate directories with the command line,Expectations: I can launch interactive sessions,Expectations: I can submit batch scripts,Expectations: I can build and use Apptainer/Singularity containers,Expectations: I can work with (create/activate/modify) a Python virtual environment,Expectations: I can code in Python,Expectations: I have used ML/DL frameworks and libraries (PyTorch/TensorFlow/Jax etc.),Expectations: My plans with LLMs after the course are...,Learning outcomes: I understand the overall architecture of the Alvis compute cluster,Learning outcomes: I know some history and origins of current generative models with attention mechanism,Learning outcomes: I understand the categories in which LLMs are released,Learning outcomes: I know what to look for when selecting a language model for my use case,Learning outcomes: I know the tools available on Alvis for LLM inference,Learning outcomes: I can perform inference using LLM inference engine/server,Learning outcomes: I understand the OpenAI API,Learning outcomes: I know different ways to perform offline inference,Learning outcomes: I know the general structure of neural networks,Learning outcomes: I know why the Transformer architecture helped training LLMs,Learning outcomes: I know the difference in needs of LLM training/fine-tuning/inference,Learning outcomes: I know some tricks to reduce the computational and memory footprint of LLMs,Learning outcomes: I understand some elements in LLM names,Learning outcomes: I know common formats in which LLMs are saved on disk,Learning outcomes: I know common datatypes relevant to LLMs,Learning outcomes: I know common ways of performing quantization,Learning outcomes: I know how to check compatibility between models and hardware,General: Anything else you would like us to know?
,,2025-11-19 06:06:11.975103+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,2,2,2,2,2,2,5,2,5,2,5,2,4,2,2,2,2,
,,2025-11-19 06:51:32.309157+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,3,3,2,2,1,1,1,1,3,2,1,1,1,1,2,1,1,
,,2025-11-19 07:04:44.288189+00:00,Yes,Yes,Yes,Yes,Yes,Beginner,No,Using trained LLMs; Finetuning LLMs,5,4,3,3,1,5,3,5,2,2,4,3,3,4,3,2,5,I want to use C2S-scale (https://github.com/vandijklab/cell2sentence) after this workshop. Also it would be great to learn RAG setup on Alvis - my hardware is too weak: 3 t/s for gpt-oss-120b :(
,,2025-11-19 07:10:55.405532+00:00,Yes,No,No,No,No,Intermediate,Not sure,No concrete plans,3,3,2,2,1,1,1,1,4,3,2,1,3,1,3,1,1,
,,2025-11-19 07:21:44.387789+00:00,Yes,No,No,No,No,Beginner,No,No concrete plans,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,
,,2025-11-19 07:36:11.355929+00:00,Yes,Yes,No,No,Yes,Intermediate,Yes,Using trained LLMs; Finetuning LLMs,3,3,2,2,2,1,3,1,5,5,2,1,1,1,1,1,2,
,,2025-11-19 07:52:54.604618+00:00,Yes,No,Yes,No,No,Intermediate,Yes,Using trained LLMs,2,4,4,4,2,1,1,1,4,4,3,2,3,3,3,1,1,
,,2025-11-19 08:00:25.212793+00:00,Yes,No,No,No,No,Intermediate,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,1,3,2,3,1,3,2,1,4,2,4,2,3,2,3,4,2,
,,2025-11-19 08:01:11.403694+00:00,Yes,Yes,Yes,No,Yes,Beginner,No,Using trained LLMs,4,3,3,3,4,4,4,2,2,2,2,2,2,2,2,2,3,
,,2025-11-19 08:03:30.457389+00:00,Yes,Yes,No,Yes,Yes,Proficient,No,Using trained LLMs; Finetuning LLMs,3,2,2,1,3,3,3,3,4,4,2,1,3,3,3,1,1,
,,2025-11-19 08:09:49.803970+00:00,Yes,No,Yes,No,Yes,Proficient,Yes,Using trained LLMs,2,2,3,2,1,1,3,2,4,2,2,1,1,1,2,1,1,
,,2025-11-19 08:10:11.362429+00:00,Yes,Yes,Yes,No,Yes,Intermediate,No,Using trained LLMs,3,3,2,2,3,2,2,3,2,2,2,3,3,3,2,2,4,
,,2025-11-19 08:16:02.429738+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,Finetuning LLMs,3,4,3,3,3,4,4,3,3,2,2,1,2,2,3,2,2,
,,2025-11-19 08:16:05.169754+00:00,Yes,Yes,Yes,Yes,Yes,No,Yes,No concrete plans,4,4,1,1,1,1,1,1,5,4,3,2,3,2,2,2,2,
,,2025-11-19 08:19:28.889987+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,Training LLMs from scratch,3,3,3,3,2,3,3,3,5,4,3,2,3,3,3,1,3,
,,2025-11-19 08:22:21.020714+00:00,Yes,Yes,Yes,No,Yes,Intermediate,No,No concrete plans,1,3,3,3,1,1,1,1,3,1,1,1,1,1,1,1,1,
,,2025-11-19 08:34:06.520408+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,3,4,3,2,1,1,2,1,4,3,1,1,1,1,1,1,1,
,,2025-11-19 09:02:20.932466+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,3,4,4,2,3,3,2,4,5,5,5,3,3,3,3,2,3,
,,2025-11-19 09:02:32.183629+00:00,Yes,Yes,Yes,No,Yes,Beginner,Yes,No concrete plans,2,2,2,1,1,1,1,1,4,2,2,1,1,1,1,1,1,
,,2025-11-19 09:02:34.187901+00:00,Yes,No,Yes,No,Yes,Proficient,No,Using trained LLMs; Finetuning LLMs,3,3,3,1,1,2,1,2,3,3,2,2,3,3,2,1,1,
,,2025-11-19 09:04:55.216124+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,Training LLMs from scratch,3,4,4,3,2,5,3,5,4,3,4,3,4,3,3,2,2,
,,2025-11-19 09:05:25.242646+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,Using trained LLMs; Finetuning LLMs,4,4,4,3,1,1,3,1,5,4,5,2,4,2,2,1,1,
,,2025-11-19 09:05:34.715599+00:00,Yes,No,Yes,Yes,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs; Training LLMs from scratch,4,4,4,4,4,4,3,3,4,5,4,2,4,4,4,3,5,
,,2025-11-19 09:06:22.550216+00:00,Yes,Yes,Yes,No,No,Beginner,No,No concrete plans,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
,,2025-11-19 09:07:36.401567+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,No,Using trained LLMs,5,3,2,2,2,1,3,2,3,3,2,2,3,2,2,2,2,
,,2025-11-19 09:07:54.297183+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs,4,5,3,3,1,3,4,3,5,5,5,5,3,2,2,4,2,
,,2025-11-19 09:08:05.661839+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,Training LLMs from scratch,2,1,2,2,1,2,2,2,3,2,2,1,1,1,1,1,1,
,,2025-11-19 09:08:28.469029+00:00,Yes,No,No,No,Yes,Intermediate,Yes,Using trained LLMs; Finetuning LLMs,2,3,2,3,1,3,4,4,4,4,5,2,2,2,3,2,2,
,,2025-11-19 09:08:48.832532+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,Using trained LLMs; Finetuning LLMs,4,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,5,
,,2025-11-19 09:11:05.067373+00:00,Yes,Yes,Yes,No,Yes,Beginner,No,Using trained LLMs; Training LLMs from scratch,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,
