Submitter,Submitter Email,Submission Date,Expectations: I can navigate directories with the command line,Expectations: I can launch interactive sessions,Expectations: I can submit batch scripts,Expectations: I can build and use Apptainer/Singularity containers,Expectations: I can work with (create/activate/modify) a Python virtual environment,Expectations: I can code in Python,Expectations: I have used ML/DL frameworks and libraries (PyTorch/TensorFlow/Jax etc.),Learning outcomes: I know the common stages of a pre-training pipeline,Learning outcomes: I know the common stages of a post-training pipeline,Learning outcomes: I know different ways to perform quantization,Learning outcomes: I know some popular libraries for quantizing models,Learning outcomes: I know different ways to parallelize LLM training,Learning outcomes: I know how to choose a scheme for a certain LLM task,Learning outcomes: I know some popular libraries for parallelizing LLMs,Learning outcomes: I can use inference engine/server to infer from multimodal LLMs,Learning outcomes: I know the common stages of a simple RAG,Learning outcomes: I know when to use RAG for my usecase,Learning outcomes: I know how RAG is used by AI Agents,General: Anything else you would like us to know?
,,2025-11-20 06:04:48.656502+00:00,Yes,Yes,Yes,Yes,No,Intermediate,Yes,3,3,1,1,1,1,1,1,1,1,1,
,,2025-11-20 06:33:02.936041+00:00,Yes,Yes,Yes,No,Yes,Proficient,No,1,1,1,1,1,1,1,1,2,4,1,
,,2025-11-20 07:16:25.539165+00:00,Yes,Yes,Yes,Yes,Yes,Beginner,No,2,2,1,3,1,1,1,5,1,3,1,I am looking forward to learn RAG in this course.
,,2025-11-20 07:25:42.382679+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,2,2,3,2,2,1,1,3,3,4,3,
,,2025-11-20 07:45:21.043524+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Not sure,4,4,4,4,4,4,4,4,4,4,4,
,,2025-11-20 07:53:40.845438+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,No,1,1,1,1,1,1,1,3,1,1,1,
,,2025-11-20 08:05:02.886999+00:00,Yes,Yes,Yes,No,Yes,Intermediate,No,2,2,2,2,2,1,1,1,1,1,1,
,,2025-11-20 08:07:05.757211+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,4,4,2,1,4,2,1,1,4,3,3,
,,2025-11-20 08:32:12.969380+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,2,2,1,1,1,1,1,1,2,1,2,
,,2025-11-20 08:47:50.846781+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,3,3,3,2,4,3,2,3,4,4,4,
,,2025-11-20 08:53:49.539894+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,3,3,3,2,2,2,2,2,1,1,1,
,,2025-11-20 09:01:59.661777+00:00,Yes,Yes,Yes,Yes,Yes,Beginner,No,4,4,3,4,4,4,4,4,4,4,4,
,,2025-11-20 09:03:28.888979+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,3,3,5,4,4,3,3,2,2,4,2,
,,2025-11-20 09:03:37.325373+00:00,Yes,Yes,Yes,No,Yes,Beginner,No,1,1,1,1,1,1,1,1,1,1,1,
,,2025-11-20 09:03:51.338205+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,3,3,3,1,1,1,4,5,4,3,4,
,,2025-11-20 09:04:23.029979+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,4,4,4,4,4,4,4,4,5,5,5,
,,2025-11-20 09:06:50.044175+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,3,2,1,1,1,1,1,1,1,1,1,
,,2025-11-20 09:09:29.902578+00:00,Yes,Yes,Yes,No,Yes,Intermediate,Yes,5,5,3,1,1,1,1,3,1,1,1,
,,2025-11-20 09:29:09.511450+00:00,Yes,Yes,Yes,No,No,Intermediate,No,3,3,4,3,3,3,3,3,3,4,4,
