Submitter,Submitter Email,Submission Date,Expectations: I can navigate directories with the command line,Expectations: I can launch interactive sessions,Expectations: I can submit batch scripts,Expectations: I can build and use Apptainer/Singularity containers,Expectations: I can work with (create/activate/modify) a Python virtual environment,Expectations: I can code in Python,Expectations: I have used ML/DL frameworks and libraries (PyTorch/TensorFlow/Jax etc.),Learning outcomes: I understand the differences in context and prompt engineering,Learning outcomes: I can optimize my prompt for the LLM I am using,Learning outcomes: I know how LLMs make use of tools,Learning outcomes: I know how to create a tool such that LLMs can use it,Learning outcomes: I know different finetuning techniques for LLMs,Learning outcomes: I am not afraid of finetuning an LLM on my dataset,Learning outcomes: I know what various hyperparameters mean,Learning outcomes: I know how to tune my hyperparameters,Learning outcomes: I broadly know which evaluation metrics to evaluate on for my task,Learning outcomes: I can evaluate LLMs on some common benchmarks,General: Anything else you would like us to know?
,,2025-11-21 06:19:01.911921+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,No,4,1,4,4,2,2,2,2,1,1,"This will probably get answered today, but it would be great to have access to the workshop project for some time afterwards, some exercises I haven’t finished."
,,2025-11-21 08:01:17.839685+00:00,Yes,Yes,Yes,Yes,Yes,Beginner,Yes,5,5,3,3,1,1,3,1,2,5,"I need to leave earlier today, so I hope recorded Zoom will be available soon. Then it will take a few extra days to digest / experiment with the scripts and .ipynb you created for us. Thank you for the course."
,,2025-11-21 08:20:13.242445+00:00,Yes,Yes,Yes,No,No,Intermediate,No,3,4,3,4,4,4,3,3,3,3,.
,,2025-11-21 08:23:19.509916+00:00,Yes,Yes,Yes,No,Yes,Proficient,No,4,4,3,4,3,2,3,2,2,2,
,,2025-11-21 08:30:40.045028+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,3,3,3,3,2,2,1,1,2,2,No
,,2025-11-21 09:02:39.462582+00:00,Yes,Yes,Yes,No,Yes,Proficient,Yes,4,4,4,4,4,5,5,4,4,2,NA
,,2025-11-21 09:02:48.460066+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,3,4,4,4,3,3,3,3,3,3,No
,,2025-11-21 09:03:25.753912+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,5,3,3,3,2,1,3,3,2,2,
,,2025-11-21 09:03:28.563123+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,3,4,2,1,3,5,5,3,3,3,Nope
,,2025-11-21 09:03:29.983122+00:00,Yes,Yes,Yes,Yes,Yes,Proficient,Yes,2,2,2,2,2,1,2,2,2,1,NA
,,2025-11-21 09:04:02.439463+00:00,Yes,Yes,Yes,No,Yes,Beginner,No,1,1,2,1,1,1,2,2,2,2,No
,,2025-11-21 09:05:25.631991+00:00,Yes,Yes,Yes,Yes,Yes,Intermediate,Yes,4,2,4,2,2,2,3,3,3,2,
